BASIN,FLOWS_TO,UPPER_RUSSIAN,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10
R_14,R_14_M,N,4070.71515,810.2078256,361.1105482,426.26753770000005,90.9222648,116.4693584,17.732221799999998,9.838011199999999,6.803302099999999,5.395038400000001
R_14_M,R_15_M,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_15,R_15_M,N,1321.447218,276.93208139999996,103.1801094,99.4908552,17.2165196,26.1024652,4.244625800000001,2.6181804,1.8446271,1.5669413
R_15_M,R_16_M,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_16,R_16_M,N,5352.6913159999995,988.3432662999999,429.34191619999996,528.7534326,94.67102309999999,165.2032163,23.3652766,13.6462736,9.857845900000001,7.9735494000000005
R_16_M,R_17_M,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_17,R_17_M,N,2221.5062350000003,465.77826009999995,246.8230068,338.7965107,59.1867448,81.0247495,12.0396629,6.6446245,4.5818157,3.6099154
R_17_M,R_18_M,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_18,R_18_M,N,9470.275862,1823.919673,700.9384633,972.4556716,172.87924519999999,212.74699219999997,31.3189913,16.4032969,11.325613699999998,8.9454497
R_18_M,R_19_M,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_19,R_19_M,N,2271.807034,324.9915595,158.5387571,356.29071610000005,51.8875752,76.8197931,13.0313979,5.9900794,4.085948200000001,3.2925602
R_19_M,R_21_M,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_20,R_21_M,N,10862.03709,1787.919693,2603.106028,5515.0185,1920.613836,818.3003832,116.9255565,44.5685709,25.6859365,18.545444500000002
R_21,R_21_M,N,11615.06148,2121.856702,860.6276330000001,1731.331294,422.0427466,431.999766,69.20326829999999,27.1140349,17.0975114,13.130571400000001
R_21_M,R_21_M,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_22,R_14_M,N,17228.42042,3290.993259,1683.866857,2247.251675,771.2921442,675.6095514,252.6147392,186.2081636,139.6561227,107.4247352
R_23,R_24_M,N,1673.7908289999998,252.1982105,491.64270889999995,1017.9564730000001,102.4263908,142.2743031,20.846269699999997,14.856190300000002,19.576848899999998,47.2462554
R_24,R_24_M,N,5812.57867,789.4408947000001,792.3764302999999,1455.9859880000001,310.3138815,187.1602292,44.3702239,14.856190300000002,18.783460899999998,154.49247830000002
R_24_M,R_18_M,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_25,R_24_M,N,1090.531641,332.88577010000006,504.6741068,1074.525038,131.38505279999998,32.588412100000006,0.0,0.0,0.0,33.7388247
R_26,R_25,N,920.7862781,268.00646639999997,607.933555,1367.58273,131.4643916,175.29907859999997,0.0,0.0,0.0,8.1123923
R_27,R_26,N,4914.165933,745.8045547,1141.3679769999999,2456.626769,571.3186988,862.6309377,271.3982001,227.4048355,218.28087349999998,420.5749788
R_28,R_25,N,3106.510714,485.1369273,1035.728365,2358.04831,265.54696359999997,480.1782523,54.009888100000005,37.090889000000004,48.6148497,101.6925069
