,BASIN,2022-06_ALLOCATIONS,2022-06_DEMAND,2022-06_FLOW,2022-06_PROPORTIONS
0,R_01,5.767062834,5.767062834,75.23260744,1
1,R_02,12.2280404,12.2280404,46.92864466,1
2,R_02_MSRR,0,0,0,1
3,R_03,0.0002022,0.0002022,7.398302815,1
4,R_03_MSRR,0,0,0,1
5,R_04,0.705163535,0.705163535,39.60968022,1
6,R_04_MSRR,0,0,0,1
7,R_05,3.371911134,3.371911134,34.27417497,1
8,R_05_MSRR,0,0,0,1
9,R_06,1.775424985,1.775424985,76.52185592,1
10,R_06_MSRR,0,0,0,1
11,R_07,0.0012132,0.0012132,6.743761279,1
12,R_08,0.0255006,0.0255006,20.17178006,1
13,R_09,2.773033,2.773033,25.36844316,1
14,R_09_MSRR,0,0,0,1
15,R_10,7.9522242,7.9522242,11.80158224,1
16,R_10_MSRR,0,0,0,1
17,R_11,0.781813201,0.781813201,17.73212525,1
18,R_12,1.172828267,1.172828267,17.27592963,1
19,R_12_MSRR,0,0,0,1
20,R_13,1.190075517,4.2562132,1.19007552,0.279609
21,R_13_MSRR,0,0,0,1
