BASIN,FLOWS_TO,2021-05,2021-06,2021-07,2021-08,2021-09
L_14,L_14_MSDC,539.7129862,240.0313364,152.9022133,105.4413212,75.8314703
L_14_MSDC,L_15_MSDC,0,0,0,0,0
L_15,L_15_MSDC,17.48449569,6.146459442,3.43644294,2.094823119,1.344614862
L_15_MSDC,L_16_MSDC,0,0,0,0,0
L_16,L_16_MSDC,85.02267682,30.39907407,18.223537,11.87008252,8.069950331
L_16_MSDC,L_17_MSRR,0,0,0,0,0
L_17,L_17_MSRR,18.71087584,6.004641261,3.400006577,2.138518986,1.412092548
L_17_MSRR,L_18_MSRR,0,0,0,0,0
L_18,L_18_MSRR,180.9540477,58.21150354,24.08330554,11.09097509,5.716224735
L_18_MSRR,L_19_MSRR,0,0,0,0,0
L_19,L_19_MSRR,23.88198323,8.84568586,4.606552019,2.554988404,1.524476018
L_19_MSRR,L_21_MSRR,0,0,0,0,0
L_20,L_21_MSRR,306.7199969,119.7917343,60.76542087,34.92118973,21.29851218
L_21,L_21_MSRR,139.2515688,54.25685895,27.67418154,15.26895852,9.185851146
L_21_MSRR,L_21_MSRR,0,0,0,0,0
L_23,L_24_LSR,54.47634291,24.77645906,13.19212526,10.40220188,14.59674573
L_24,L_24_LSR,200.3146681,82.21239755,23.54767764,6.436066539,11.78236321
L_24_LSR,L_18_MSRR,0,0,0,0,0
L_25,L_24_LSR,48.07026083,0,0,0,0
L_26,L_25,25.31878242,0,0,0,0
L_27,L_26,442.9845986,280.2193725,205.8068649,188.2329721,188.2193853
L_28,L_25,134.2533,60.94428694,37.24772873,28.15836856,38.62292173
